Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Beñat Etxebarria,Athletic Bilbao,32,M(C),25(2),2045,1.7,0.9,1.1,-,0.4,1.5,-,-,6.68
Ezequiel Ávila,SD Huesca,25,"AM(LR),FW",20(14),1995,0.5,0.4,1.1,-,0.6,0.6,0.1,-,6.68
Maximilian Wöber,Sevilla,21,D(CL),6(1),536,1.7,1,1.1,0.3,2.3,0.4,-,-,6.68
Ángel Correa,Atletico Madrid,24,"AM(LR),FW",20(16),1922,1.1,0.5,1.1,-,0.5,1.2,0.1,-,6.68
Carlos Akapo,SD Huesca,26,D(L),12(1),1012,2.2,1.7,1.2,0.3,2.5,1.1,0.2,-,6.68
Martin Braithwaite,Leganes,28,"AM(CLR),FW",16(3),1407,0.3,0.2,1.3,-,0.2,0.2,-,-,6.67
Dani García,Athletic Bilbao,29,DMC,29,2482,1.9,1.7,1.6,0.1,1.6,1.3,0.3,-,6.67
Luis Advíncula,Rayo Vallecano,29,"D(R),M(R)",27(1),2391,1.9,0.7,1.7,0.6,2,0.4,0.1,-,6.67
Aissa Mandi,Real Betis,27,D(CLR),34(1),3061,1.5,1.2,1.6,0.5,1.9,0.5,0.7,-,6.67
Giannelli Imbula,Rayo Vallecano,26,M(C),21(1),1739,0.6,0.4,1.2,-,0.2,0.3,0.1,-,6.67
Víctor Ruiz,Villarreal,30,D(C),22,1976,1.3,1.7,1.3,1,2.8,0.2,0.7,-,6.67
Andrés Solano,Atletico Madrid,21,Defender,1,46,4,-,-,-,1,-,-,-,6.67
Rodrigo Tarín,Leganes,22,D(C),15(3),1429,1.2,1.7,0.8,0.2,4.1,0.2,0.3,-,6.67
Iñigo Córdoba,Athletic Bilbao,22,AM(L),15(8),1324,1.6,0.7,0.8,-,0.3,1.4,-,-,6.67
Juan Hernández,SD Huesca,20,FW,25(9),2155,0.6,0.3,1,-,0.5,0.4,0.1,-,6.66
Jaume Costa,Villarreal,31,"D(L),M(L)",18(3),1498,1.6,1,1,0.1,2.1,0.6,0.1,1,6.66
Ryad Boudebouz,Celta Vigo,29,"M(CLR),FW",8(3),720,1.3,0.3,0.5,-,0.6,0.5,0.1,-,6.66
Miguelón,Villarreal,23,D(R),5(3),543,2.6,1.5,1.8,0.4,1.6,1,0.3,-,6.66
Mathías Olivera,Getafe,21,"D(L),M(L)",12(2),1011,1.7,0.7,1.1,0.3,1.3,0.6,0.1,-,6.66
Abel Ruiz,Barcelona,19,Forward,0(1),21,1,-,-,-,-,-,-,-,6.66
Isco,Real Madrid,27,"AM(CLR),FW",11(16),1188,1.1,0.2,0.7,-,0.1,0.7,-,-,6.66
Pere Pons,Girona,26,DMC,32(2),2797,2.4,1,2.1,0.1,1,1.5,0.4,-,6.66
Rubén Pérez,Leganes,30,M(C),27(4),2473,2.3,1.3,1.1,-,1,1.5,0.3,-,6.66
Álvaro González,Villarreal,29,D(C),34,2967,1.4,1.1,0.8,0.5,5.1,0.3,0.7,-,6.66
Wu Lei,Espanyol,27,"AM(LR),FW",12(4),1064,0.8,0.4,0.5,-,0.4,0.7,-,-,6.66
Sergio Escudero,Sevilla,29,"D(L),M(L)",18(3),1553,2,1.1,1,0.1,1.8,0.8,0.2,-,6.65
Moussa Wagué,Barcelona,20,Defender,2(1),225,2,1.3,3,0.3,0.7,1.3,-,-,6.65
Bruno González,Getafe,29,D(C),18(5),1697,1,1,1,0.5,4.8,0.4,0.3,-,6.65
Allan Nyom,Leganes,31,"D(LR),M(R)",20(3),1712,1.4,0.9,1.5,0.2,1.1,0.2,0.1,-,6.65
Iván Cuéllar,Leganes,35,GK,34,3056,-,0.1,-,-,1,-,-,-,6.65
Mouctar Diakhaby,Valencia,22,D(C),16(6),1574,0.6,0.9,1.1,0.7,4.3,0.2,0.7,-,6.65
Nacho,Real Madrid,29,D(CLR),19(1),1701,1.3,1.6,1.4,0.6,3,0.6,0.4,-,6.64
Chema Rodríguez,Levante,27,D(C),13(6),1254,1.4,1,1,0.4,4.3,0.3,0.6,-,6.64
Óscar Trejo,Rayo Vallecano,31,M(CLR),22(4),1774,2.2,0.7,1.8,-,0.5,1,0.1,-,6.64
David Timor,Girona,29,"D(C),M(C)",2,164,1,1.5,0.5,-,1.5,0.5,0.5,-,6.64
Robert Mazán,Celta Vigo,25,Defender,1,90,3,3,2,1,-,-,-,-,6.64
Pau López,Real Betis,24,GK,33,2970,-,0.1,-,-,0.8,0.1,-,-,6.64
Facundo Roncaglia,Valencia,32,D(CLR),7,603,1.9,1.4,0.9,0.1,3,0.3,0.3,-,6.64
Juanfran,Leganes,30,"D(R),M(R)",17(6),1459,0.9,0.8,0.3,0.2,1.1,0.3,0.2,-,6.64
Adrià Pedrosa,Espanyol,21,D(L),8(4),760,1.2,0.7,1.2,0.2,1.8,0.6,0.3,-,6.63
Rubén Pardo,Real Sociedad,26,M(C),16(8),1374,0.5,0.9,0.5,-,0.3,0.5,0.3,-,6.63
Lucas Vázquez,Real Madrid,27,M(R),15(16),1502,1.4,0.4,1.3,-,0.2,0.8,-,-,6.63
Stefan Savic,Atletico Madrid,28,D(C),17(1),1401,0.6,1.2,0.8,0.1,3.6,0.3,0.5,-,6.63
Roger Martí,Levante,28,FW,23(8),1895,0.3,0.1,1.2,-,0.3,0.6,-,-,6.63
Francis,Real Betis,23,"D(R),M(LR)",22,1790,2.3,1,0.4,0.2,1.5,0.8,-,-,6.63
David Zurutuza,Real Sociedad,32,M(CL),13(8),1223,1.3,1.1,0.9,-,1,0.7,0.2,-,6.63
Peru Nolaskoain,Athletic Bilbao,20,Midfielder,4(4),465,1.4,1.3,0.6,0.5,2.3,0.5,0.8,-,6.63
Coke,Levante,32,"D(CLR),M(R)",19(8),1815,1.6,1.5,1,-,1.9,1.1,0.3,-,6.63
Pedro Porro,Girona,19,"D(R),M(R)",25(7),2214,1.6,1.2,0.8,0.1,1.2,1.5,0.1,-,6.63
Leo Baptistão,Espanyol,26,"AM(CLR),FW",14(6),1236,1.1,0.4,1.3,-,0.7,1,-,-,6.61
Amath Ndiaye,Getafe,22,AM(L),13(2),1012,1.3,0.7,1.8,-,0.5,1.4,-,-,6.61
Portu,Girona,27,"AM(CR),FW",33(1),2833,1,0.2,0.8,-,-,0.9,-,-,6.61
Juan Soriano,Sevilla,21,Goalkeeper,4,360,-,0.3,-,-,1,-,-,-,6.61
Samuel Umtiti,Barcelona,25,D(CL),13(1),1190,0.6,1.3,0.9,0.4,1.9,0.1,0.6,-,6.60
Ander Capa,Athletic Bilbao,27,"D(R),M(R)",17(8),1637,1.7,1.2,1.8,0.2,1.5,0.6,0.1,-,6.60
Óscar Melendo,Espanyol,21,AM(CR),22(10),2006,0.5,0.4,0.3,-,0.2,0.5,-,-,6.60
Joaquín Fernández,Real Valladolid,23,D(C),9(4),836,1.2,1.3,0.6,0.4,3.5,0.6,0.5,1,6.60
Wesley Hoedt,Celta Vigo,25,D(C),9(1),893,1.7,1.1,0.9,0.1,5.7,0.5,1.1,-,6.60
Alberto García,Rayo Vallecano,34,GK,17,1530,0.1,0.1,-,-,0.3,0.1,-,-,6.60
Maxime Gonalons,Sevilla,30,"D(C),M(C)",5(5),537,0.8,0.5,1.7,0.1,1,1.4,0.4,-,6.60
Santiago Cáseres,Villarreal,22,DMC,17(6),1590,2.9,0.6,1.5,-,1,1.4,0.4,-,6.60
Recio,Leganes,28,M(C),15(3),1288,1.7,0.8,2.6,-,0.7,1,0.1,-,6.60
Gonzalo Escalante,Eibar,26,DMC,18(14),1784,1.5,0.7,1,0.1,0.6,0.8,0.1,-,6.59
Dimitri Foulquier,Getafe,26,"D(LR),M(R)",23(2),1809,1.2,0.8,2,0.1,1.2,0.4,0.1,-,6.59
Rober Pier,Levante,24,"D(C),DMC",32(1),2855,1.2,1.5,0.8,0.5,3.7,0.7,1.1,1,6.59
Adrián Diéguez,SD Huesca,23,D(C),8(1),749,1.8,1.3,1,0.8,4.7,0.8,0.4,-,6.59
Quincy Promes,Sevilla,27,"M(CLR),FW",15(18),1571,1.1,0.8,0.7,0.1,0.6,0.2,0.1,-,6.59
Miguel Layún,Villarreal,31,"D(LR),M(CLR)",5(3),506,1,0.1,0.8,-,1.1,0.5,0.3,-,6.59
Facundo Roncaglia,Celta Vigo,32,D(CLR),12,1071,2.8,1.7,1.3,0.4,3.5,0.6,0.4,-,6.59
Enes Ünal,Real Valladolid,22,FW,24(9),2152,0.5,0.1,1.3,-,0.5,0.6,0.1,-,6.59
Marc Cucurella,Eibar,20,M(L),26(5),2356,1.6,0.6,1.4,0.1,0.5,0.4,0.1,-,6.58
Aday Benítez,Girona,31,M(LR),8(2),647,0.9,0.7,0.6,0.1,1.5,0.1,-,-,6.58
Douglas Luiz,Girona,21,M(C),16(7),1487,1.5,0.9,2,-,1,1.3,0.3,-,6.58
Robin Le Normand,Real Sociedad,22,Defender,3(1),283,1.3,1,0.8,1,3,0.5,-,-,6.58
Gustavo Cabral,Celta Vigo,33,D(C),21(3),1898,1.5,1.4,0.8,0.3,4.3,0.4,0.5,1,6.58
Tomás Vaclik,Sevilla,30,GK,33,2970,-,-,-,-,0.5,-,-,-,6.58
Óscar De Marcos,Athletic Bilbao,30,"D(LR),M(CR)",28(2),2427,2,0.9,1.3,0.3,1.6,1.1,0.1,-,6.57
David Costas,Celta Vigo,24,D(C),13(2),1173,1.7,1.2,1.1,1.1,3.6,0.3,0.4,-,6.57
Rúben Vezo,Valencia,25,D(CR),2(2),194,0.5,0.5,1,-,2,0.5,0.3,-,6.57
Sergio Álvarez,Eibar,27,"D(C),M(C)",12(7),1065,1.8,0.9,1,0.6,2.2,0.5,0.2,-,6.57
Jordi Masip,Real Valladolid,30,GK,35,3150,-,-,-,-,0.4,-,-,-,6.57
Gerónimo Rulli,Real Sociedad,27,GK,27,2430,0.1,-,-,-,0.6,0.1,-,-,6.57
Markel Susaeta,Athletic Bilbao,31,M(LR),15(7),1380,0.8,0.5,0.5,-,0.2,0.9,-,-,6.57
Ander Barrenetxea,Real Sociedad,17,Forward,5(4),399,0.8,0.4,1.3,-,0.1,0.7,-,-,6.56
Gorka Elustondo,Rayo Vallecano,32,"D(C),M(C)",3(2),286,1.4,1.2,0.8,0.4,2,0.6,0.2,-,6.56
Raúl García,Leganes,30,D(CL),4(1),380,1.6,1.2,0.8,0.4,5.2,0.4,0.4,-,6.56
Aleix García,Girona,22,DMC,20(11),1667,1.2,0.7,0.4,0.1,0.4,0.7,0.2,-,6.56
Chris Ramos,Real Valladolid,22,Forward,1,64,1,-,2,-,1,-,-,-,6.56
Martín Aguirregabiria,Deportivo Alaves,23,D(R),23(4),2034,1.7,1,0.9,0.3,2.3,0.7,0.4,-,6.56
Andrés Guardado,Real Betis,32,"D(L),M(CL)",27(4),2340,0.8,0.9,1.4,-,0.8,1.2,-,-,6.55
Héctor Moreno,Real Sociedad,31,D(CL),21(4),1929,0.6,1.2,0.7,0.4,2.9,0.3,0.8,-,6.55
José Pozo,Rayo Vallecano,23,AM(C),16(13),1612,0.4,0.1,0.4,-,0.2,0.7,-,-,6.55
Vitolo,Atletico Madrid,29,M(CLR),5(15),745,0.9,0.5,0.3,-,0.2,0.7,0.1,-,6.55
Diego Reyes,Leganes,26,"D(C),DMC",4(2),320,1.2,1.2,0.5,0.7,2.7,0.2,0.7,-,6.54
Aleix Vidal,Sevilla,29,"D(R),M(LR)",5(6),526,1.2,0.4,0.9,0.1,0.8,0.8,-,-,6.54
Ibrahim Amadou,Sevilla,26,"D(C),DMC",7(10),758,1.6,0.6,0.7,0.2,1.4,0.4,0.2,-,6.53
Rubén Blanco,Celta Vigo,23,GK,25,2250,-,0.1,-,-,0.9,-,-,-,6.53
Carles Planas,Girona,28,"D(L),M(L)",4(3),418,1.7,0.6,0.7,-,1.7,1,-,-,6.53
Malcom,Barcelona,22,AM(CLR),6(9),608,0.2,0.1,0.3,0.1,0.1,0.1,-,-,6.53
Juan Pablo Añor,SD Huesca,25,AM(CR),8(6),673,1.1,0.4,0.9,-,0.2,0.6,-,-,6.53
Álvaro Medrán,Rayo Vallecano,25,M(C),12(9),1148,0.7,0.8,1.2,-,0.4,0.7,-,-,6.53
Keko,Real Valladolid,27,M(R),20(6),1545,1.6,0.5,1.2,-,0.3,1.2,-,-,6.53
Wilfrid Kaptoum,Real Betis,22,M(C),9(1),776,1.5,1,1.6,-,0.6,0.6,0.1,-,6.52
Rúben Semedo,SD Huesca,25,D(C),9(2),848,1.8,1.5,1.1,0.6,3,0.3,0.8,-,6.52
Javi Moyano,Real Valladolid,33,D(R),25(2),2108,0.9,0.9,0.3,0.3,2.7,0.6,0.3,-,6.52
Guilherme Arana,Sevilla,22,"D(L),M(L)",8(1),633,1.2,1,0.6,0.2,0.8,0.1,0.3,-,6.52
Ibai Gómez,Athletic Bilbao,29,AM(LR),6(8),579,0.4,0.1,0.3,-,0.6,0.4,0.1,-,6.52
Federico Valverde,Real Madrid,20,M(CL),6(10),652,0.8,1.3,0.9,0.1,0.6,0.4,0.1,-,6.51
Ferrán Torres,Valencia,19,M(R),8(16),843,0.6,0.4,0.8,-,0.3,0.3,-,-,6.51
Hernán Pérez,Espanyol,30,M(LR),10(9),798,0.7,0.3,1.1,-,0.6,1.1,0.2,-,6.51
Takashi Inui,Deportivo Alaves,31,AM(CLR),10(2),834,0.8,0.3,0.6,-,0.2,1.1,-,-,6.51
Damián Musto,SD Huesca,32,DMC,20(4),1689,2.2,1.4,2,0.2,2.1,0.7,0.5,-,6.51
Stanislav Lobotka,Celta Vigo,24,DMC,27(4),2493,1,0.8,0.6,-,0.5,0.7,-,-,6.51
Bebé,Rayo Vallecano,28,"AM(LR),FW",13(14),1296,0.7,0.3,0.8,-,0.5,0.4,-,-,6.51
Manu Trigueros,Villarreal,27,M(C),18(6),1549,1.9,0.7,1.5,-,0.7,1.5,0.3,-,6.51
Sergio Álvarez,Celta Vigo,32,GK,13,1170,-,-,0.1,-,0.5,-,-,-,6.51
Miguel Ángel Moyá,Real Sociedad,35,GK,11,990,0.1,0.1,-,-,1.4,0.1,-,-,6.51
Íñigo Lekue,Athletic Bilbao,26,"D(LR),M(LR)",2(2),210,1.3,1,0.3,-,2.5,1.3,-,-,6.51
Luca Sangalli,Real Sociedad,24,AM(C),12(6),1000,1.1,0.3,0.6,-,0.2,0.9,0.1,-,6.51
Stole Dimitrievski,Rayo Vallecano,25,GK,21,1890,-,-,-,-,0.8,-,-,-,6.50
Borja Mayoral,Levante,22,FW,16(13),1614,0.3,0.2,0.6,-,0.2,0.4,-,-,6.50
Javi Sánchez,Real Madrid,22,Defender,0(1),45,1,-,2,-,4,-,-,-,6.50
Óscar Duarte,Espanyol,30,"D(C),DMC",7(4),657,1.1,1.2,0.7,0.3,3.1,0.3,0.6,1,6.50
David Ferreiro,SD Huesca,31,AM(L),23(12),2277,1,0.7,1.2,0.1,0.3,1.5,-,-,6.50
Jordi Amat,Rayo Vallecano,27,"D(C),DMC",31,2764,1.7,1.4,1.5,1.2,3.8,0.6,0.3,-,6.50
Denis Suárez,Barcelona,25,AM(CLR),0(2),17,-,-,-,-,-,-,-,-,6.50
Arthur,Barcelona,22,DMC,19(8),1441,0.6,0.3,0.4,-,0.3,0.3,-,-,6.49
Mubarak Wakaso,Deportivo Alaves,28,M(CLR),18(11),1668,1.6,0.6,1.1,-,0.6,0.8,0.3,-,6.49
Júnior Alonso,Celta Vigo,26,D(CL),6(3),535,1.4,0.6,0.7,-,2.2,0.6,0.3,-,6.49
Ryad Boudebouz,Real Betis,29,"M(CLR),FW",6(3),540,0.9,0.6,0.6,-,0.2,0.7,0.1,-,6.49
Marko Rog,Sevilla,23,DMC,4(6),355,1.2,0.8,1.4,-,0.1,0.4,-,-,6.48
Roque Mesa,Sevilla,30,DMC,20(11),1747,1.5,0.5,1.5,-,0.3,0.7,-,-,6.48
Loren Morón,Real Betis,25,FW,22(11),1960,0.5,0.2,0.9,-,0.5,0.6,-,-,6.48
Juanmi,Real Sociedad,26,"AM(CLR),FW",16(14),1522,0.7,0.5,0.9,-,0.3,0.5,-,-,6.48
Rubén Sobrino,Deportivo Alaves,27,"AM(R),FW",10(10),964,0.8,0.1,1.4,-,0.5,0.4,0.1,-,6.48
Waldo Rubio,Real Valladolid,23,Forward,5(3),493,0.5,0.1,0.9,-,0.9,0.6,-,-,6.48
Antonio Adán,Atletico Madrid,32,GK,2,91,-,-,-,-,-,-,-,-,6.47
Ignasi Miquel,Getafe,26,D(C),4(3),317,0.1,0.7,0.9,-,3.4,0.1,0.6,-,6.47
Francisco Portillo,Getafe,29,M(CLR),19(13),1992,0.8,0.5,0.9,-,0.1,0.6,-,-,6.47
Álex Gallar,SD Huesca,27,AM(R),10(15),1004,0.6,0.4,0.2,-,0.2,0.4,-,-,6.47
Samu Sáiz,Getafe,28,AM(CL),2(8),300,0.4,-,0.3,-,0.2,0.3,-,-,6.46
Sanjin Prcic,Levante,25,M(C),6(4),534,1.8,1.1,0.8,-,1.1,0.6,0.7,-,6.46
Jesús Vallejo,Real Madrid,22,D(C),4(1),311,1.2,1.4,0.6,0.8,2.4,0.2,0.8,-,6.46
Iago Herrerín,Athletic Bilbao,31,GK,31,2790,-,-,-,-,0.9,0.1,-,-,6.46
Víctor Sánchez,Espanyol,31,"D(LR),M(CL)",13(11),1258,1.9,1,2,-,1,2.2,0.1,-,6.46
Diego Costa,Atletico Madrid,30,FW,14(2),1117,0.3,0.1,1.4,-,0.4,0.4,-,-,6.46
Jeison Murillo,Barcelona,27,D(C),1(1),112,1,-,-,0.5,2.5,1.5,-,-,6.46
Ángel Rodríguez,Getafe,32,FW,20(17),1821,0.4,0.2,1.1,0.1,0.2,0.5,-,-,6.46
Luisinho,SD Huesca,34,"D(L),M(L)",6(1),509,2,2.3,1.1,0.1,2.1,1,0.1,-,6.46
Xavier Quintillá,Villarreal,22,D(L),7,628,1.4,1.1,1,0.3,1.9,0.9,0.3,-,6.45
Gonzalo Melero,SD Huesca,25,AM(C),14(8),1347,1.2,0.1,1.5,-,1,1.7,0.2,-,6.45
Pablo De Blasis,Eibar,31,"D(R),M(CLR)",16(8),1517,1.3,0.5,0.8,0.2,0.8,0.8,-,-,6.45
Antonio Luna,Levante,28,"D(L),M(L)",14(2),1259,0.9,0.9,0.9,0.1,2.3,1.1,0.4,-,6.45
Pedro López,Levante,35,"D(R),M(R)",5(4),464,0.6,0.9,0.8,0.2,0.7,0.4,0.3,-,6.45
Mikel Rico,Athletic Bilbao,34,M(C),3(1),243,1.3,0.5,1.3,-,0.8,1.3,0.5,-,6.45
Carles Aleñá,Barcelona,21,M(C),6(11),631,0.4,0.1,0.5,0.1,-,0.4,-,-,6.44
Sergio Postigo,Levante,30,D(C),17(4),1451,1.2,1,0.6,0.7,3.7,0.2,0.6,-,6.44
Pione Sisto,Celta Vigo,24,AM(LR),8(17),835,0.2,0.1,0.3,-,-,0.4,-,-,6.44
Marko Dmitrovic,Eibar,27,GK,24,2160,-,0.1,0.1,-,0.9,-,-,-,6.44
Andoni Gorosabel,Real Sociedad,22,D(R),6(1),456,2.3,0.6,0.7,-,2.3,0.7,0.1,-,6.44
Adrián Marín,Deportivo Alaves,22,D(L),2(4),287,2.2,1.2,1.8,0.3,1.7,0.5,-,-,6.44
Moisés Delgado,Real Valladolid,25,Defender,3,270,2.3,1,1.3,0.3,3,0.3,0.3,-,6.44
Darko Brasanac,Deportivo Alaves,27,"DMC,M(R)",17(7),1582,1.3,0.5,1.4,-,0.8,0.7,0.2,-,6.44
Mikel San José,Athletic Bilbao,30,"D(C),DMC",16(17),1717,1.3,0.6,1,0.1,1,1,0.2,-,6.44
Riqui Puig,Barcelona,19,Midfielder,2,157,1.5,-,0.5,-,0.5,0.5,-,-,6.44
Sergio García,Espanyol,36,"M(CLR),FW",17(12),1487,0.6,0.3,0.6,-,0.1,0.4,-,-,6.43
Munir El Haddadi,Barcelona,23,"AM(LR),FW",1(6),148,0.4,-,0.3,-,0.1,0.3,-,-,6.43
Kevin Gameiro,Valencia,32,FW,16(17),1606,0.4,0.2,0.3,-,0.1,0.2,0.1,-,6.43
Moses Simon,Levante,23,M(CLR),8(11),781,0.7,0.6,0.4,-,0.4,0.2,0.1,-,6.43
Emerson,Real Betis,20,D(R),4(2),318,1.5,1.2,0.8,0.2,1.5,1.2,-,-,6.41
Anuar Mohamed,Real Valladolid,24,AM(C),12(7),1082,1.7,0.6,1.5,-,1.2,0.4,0.1,-,6.41
Sergio Akieme,Rayo Vallecano,21,Defender,2,180,1.5,0.5,1,1,2.5,-,-,1,6.41
Antoñito,Real Valladolid,31,"D(R),M(R)",18(12),1855,1.2,0.6,1,0.1,0.7,0.8,0.3,-,6.41
Thomas Vermaelen,Barcelona,33,D(CL),7(2),587,0.7,0.7,1.1,-,2.2,0.4,0.2,-,6.40
Sebastián Cristóforo,Getafe,25,M(C),4(11),443,1,0.5,0.9,-,0.3,0.6,-,-,6.40
Asier Riesgo,Eibar,35,GK,15,1261,0.1,-,-,-,0.7,0.1,-,-,6.40
Hugo Duro,Getafe,19,Forward,5(6),415,0.5,0.3,0.8,-,0.3,0.3,0.1,-,6.40
Nabil El Zhar,Leganes,32,M(CLR),9(18),956,0.3,0.1,0.6,-,-,0.2,-,-,6.40
Nikola Vukcevic,Levante,27,DMC,9(7),671,1.6,0.6,1.3,0.1,1,0.9,0.3,-,6.39
Pedro León,Eibar,32,M(LR),5(4),426,0.8,0.4,0.6,-,0.1,0.3,-,-,6.39
Pablo Piatti,Espanyol,30,M(LR),6(14),735,1.1,0.1,0.9,-,0.3,0.4,-,-,6.39
Antonio Sanabria,Real Betis,23,FW,8(7),809,0.5,0.2,0.7,-,0.3,0.3,0.1,-,6.38
Jonás Ramalho,Girona,26,D(CR),18(4),1620,0.6,0.7,0.7,0.1,3.3,0.3,0.5,1,6.38
Bryan Gil,Sevilla,18,Forward,0(11),159,0.5,0.1,0.3,-,-,0.4,-,-,6.38
Carlos Bacca,Villarreal,32,FW,12(21),1263,0.1,0.2,0.6,0.1,0.2,0.2,-,-,6.38
Javi García,Real Betis,32,"D(C),DMC",6(7),520,0.2,0.4,0.6,0.5,2.1,0.1,0.1,-,6.38
Nicola Sansone,Villarreal,27,"AM(LR),FW",0(3),34,-,-,1,-,-,-,-,-,6.38
Daniele Bonera,Villarreal,38,D(CR),4(1),233,0.4,0.8,0.4,0.2,2,-,1,1,6.38
Uche Agbo,Rayo Vallecano,23,"D(C),DMC",5(1),372,1.2,1,2,-,0.2,0.8,0.2,-,6.37
Kike García,Eibar,29,FW,15(15),1296,0.2,0.1,1,-,0.2,0.1,-,-,6.37
Marc Cardona,Eibar,23,Forward,6(11),597,0.4,0.1,0.5,-,0.2,0.2,-,-,6.37
Valery Fernández,Girona,19,M(L),10(7),885,1.2,0.5,0.5,-,0.3,0.4,0.1,-,6.37
Jon Bautista,Real Sociedad,23,FW,4(14),587,0.3,0.3,0.8,-,0.2,0.2,0.1,-,6.37
Tito,Rayo Vallecano,33,D(CLR),12(3),1099,0.9,1.1,0.4,0.5,2.5,1,0.1,-,6.36
Jasper Cillessen,Barcelona,30,GK,3,270,-,-,-,-,1.3,-,-,-,6.36
Diego Rolan,Leganes,26,"AM(CLR),FW",2(4),213,1,0.5,0.7,-,0.5,1.2,-,-,6.36
Mariano,Real Madrid,25,FW,3(10),441,0.2,-,0.4,-,0.2,0.2,-,-,6.36
Gaël Kakuta,Rayo Vallecano,28,M(CLR),9(3),720,1,0.8,0.8,-,0.7,0.7,0.1,-,6.35
Gelson Martins,Atletico Madrid,24,AM(R),1(7),224,0.6,0.1,0.4,-,-,0.1,-,-,6.35
Takashi Inui,Real Betis,31,AM(CLR),5(3),377,0.5,0.1,0.8,-,0.1,0.5,-,-,6.35
Diego Lainez,Real Betis,19,Midfielder,3(9),350,0.3,0.1,0.2,-,0.1,-,-,-,6.35
Pere Milla,Eibar,26,M(L),5,344,1.4,0.4,1.4,-,0.2,1,0.2,-,6.35
Erick Cabaco,Levante,24,D(C),20(1),1639,1,1.4,1.6,0.5,3.1,0.8,0.7,-,6.34
Gaku Shibasaki,Getafe,27,"M(C),FW",5(2),390,1,0.4,0.9,-,0.6,0.4,-,-,6.34
Álvaro García,Rayo Vallecano,26,AM(L),17(18),1759,0.6,0.5,0.4,-,0.7,0.6,-,-,6.34
Rafinha,Barcelona,26,M(CR),3(2),225,1.6,0.2,1.4,-,0.4,-,0.2,-,6.33
Sandro Ramírez,Real Sociedad,23,"AM(LR),FW",10(14),1051,0.8,0.4,0.8,-,0.1,0.3,-,-,6.33
Chechu Dorado,Rayo Vallecano,36,D(C),1,90,-,2,-,-,5,2,-,-,6.33
Rubén Sobrino,Valencia,27,"AM(R),FW",2(2),192,1.5,0.3,1.5,-,0.3,-,0.3,-,6.33
Carlos Vigaray,Deportivo Alaves,24,D(CLR),7(1),647,1.9,0.8,1,0.3,2.5,0.8,0.1,-,6.33
Unai López,Athletic Bilbao,23,AM(CR),3(4),326,1,0.1,0.1,-,0.1,1.4,0.4,-,6.33
Ander Iturraspe,Athletic Bilbao,30,M(C),1(2),97,0.7,2,0.3,-,0.7,-,-,-,6.33
Pedro Bigas,Eibar,29,D(CL),7(3),585,0.4,0.8,0.5,0.5,2.2,0.4,0.2,-,6.32
Emmanuel Boateng,Levante,23,"AM(R),FW",7(9),695,0.3,0.1,0.9,-,0.4,0.2,-,-,6.32
Javi Fuego,Villarreal,35,M(C),3(2),234,1.2,0.6,1.4,-,1.8,0.8,-,-,6.32
Pablo Hervías,Real Valladolid,26,Midfielder,2(1),161,0.3,0.7,0.3,-,-,0.3,-,-,6.32
Jesé,Real Betis,26,"AM(LR),FW",9(5),782,0.5,0.1,0.5,-,-,0.4,-,-,6.32
Javi Guerra,Rayo Vallecano,37,FW,1(7),232,0.4,0.1,0.4,-,-,0.4,-,-,6.31
Camacho,SD Huesca,38,Midfielder,0(3),34,0.3,-,-,-,0.3,-,-,-,6.31
Diego Rolan,Deportivo Alaves,26,"AM(CLR),FW",3(6),295,0.8,0.1,0.7,-,0.4,0.2,-,-,6.31
Borja Bastón,Deportivo Alaves,26,FW,18(9),1449,0.6,0.1,1.5,-,0.4,0.9,0.2,-,6.31
Lluís López,Espanyol,22,D(C),5(1),520,0.8,1.2,0.8,0.3,3.2,0.5,0.3,-,6.31
Unai Simón,Athletic Bilbao,22,GK,7,630,-,0.1,0.1,-,0.4,0.1,-,-,6.31
Gerard Gumbau,Leganes,24,DMC,13(3),1197,1.4,0.8,1.8,0.1,0.8,1.2,0.1,-,6.30
Nikola Kalinic,Atletico Madrid,31,FW,7(10),641,0.4,0.1,0.8,-,0.1,0.1,-,-,6.30
Fran Beltrán,Celta Vigo,20,M(C),16(14),1513,0.8,0.6,0.4,-,0.5,0.6,0.1,-,6.30
Michael Santos,Leganes,26,FW,5(11),553,0.8,0.1,1.2,-,0.1,0.3,0.1,-,6.30
Antonio Barragán,Real Betis,32,"D(R),M(R)",12(2),937,1,0.4,1.5,0.3,1.7,0.7,0.3,-,6.29
Roberto López,Real Sociedad,19,Forward,0(1),28,-,1,1,-,2,1,-,-,6.29
Mikel Balenziaga,Athletic Bilbao,31,D(L),6(5),520,0.9,0.2,0.9,0.1,1.5,0.3,0.2,-,6.28
Patrick Roberts,Girona,22,AM(R),6(13),596,0.4,0.2,-,-,0.1,0.6,-,-,6.28
Kevin Soni,Girona,21,Midfielder,1(4),79,0.6,0.2,1.2,-,-,0.4,-,-,6.28
Mathias Jensen,Celta Vigo,23,Midfielder,3(3),235,0.7,0.7,0.5,-,0.2,1.2,-,-,6.28
